date,product_id,product_name,category,quantity_sold,unit_price,revenue,stock_level,promotion,day_of_week,month,year
2021-01-09,P003,Notebook A5,Stationery,58,5.99,347.42,230,0,Saturday,1,2021
2021-01-09,P004,Ballpoint Pen Pack,Stationery,70,3.99,279.3,348,0,Saturday,1,2021
2021-01-09,P005,Desk Lamp,Furniture,15,45.99,689.85,69,0,Saturday,1,2021
2021-01-09,P006,Hand Sanitizer,Health,93,4.99,464.07,393,0,Saturday,1,2021
2021-01-09,P007,Water Bottle,Lifestyle,16,15.99,255.84,179,0,Saturday,1,2021
2021-01-09,P008,Phone Case,Electronics,42,15.99,671.66,132,1,Saturday,1,2021
2021-01-09,P009,Sticky Notes,Stationery,64,2.99,191.36,287,0,Saturday,1,2021
2021-01-09,P010,Coffee Mug,Lifestyle,20,9.99,199.8,101,0,Saturday,1,2021
2021-01-10,P001,Wireless Mouse,Electronics,17,29.99,509.83,149,0,Sunday,1,2021
2021-01-10,P002,USB-C Cable,Electronics,34,12.99,441.66,200,0,Sunday,1,2021
2021-01-10,P003,Notebook A5,Stationery,48,5.99,287.52,261,0,Sunday,1,2021
2021-01-10,P004,Ballpoint Pen Pack,Stationery,69,3.99,275.31,350,0,Sunday,1,2021
2021-01-10,P005,Desk Lamp,Furniture,13,45.99,597.87,76,0,Sunday,1,2021
2021-01-10,P006,Hand Sanitizer,Health,128,3.99,510.98,370,1,Sunday,1,2021
2021-01-10,P007,Water Bottle,Lifestyle,10,15.99,159.9,170,0,Sunday,1,2021
2021-01-10,P008,Phone Case,Electronics,26,19.99,519.74,165,0,Sunday,1,2021
2021-01-10,P009,Sticky Notes,Stationery,63,2.99,188.37,267,0,Sunday,1,2021
2021-01-10,P010,Coffee Mug,Lifestyle,22,9.99,219.78,116,0,Sunday,1,2021
2021-01-11,P001,Wireless Mouse,Electronics,16,29.99,479.84,116,0,Monday,1,2021
2021-01-11,P002,USB-C Cable,Electronics,20,12.99,259.8,225,0,Monday,1,2021
2021-01-11,P003,Notebook A5,Stationery,33,5.99,197.67,274,0,Monday,1,2021
2021-01-11,P004,Ballpoint Pen Pack,Stationery,61,3.19,194.71,323,1,Monday,1,2021
2021-01-11,P005,Desk Lamp,Furniture,9,45.99,413.91,89,0,Monday,1,2021
2021-01-11,P006,Hand Sanitizer,Health,51,4.99,254.49,458,0,Monday,1,2021
2021-01-11,P007,Water Bottle,Lifestyle,8,15.99,127.92,181,0,Monday,1,2021
2021-01-11,P008,Phone Case,Electronics,17,19.99,339.83,174,0,Monday,1,2021
2021-01-11,P009,Sticky Notes,Stationery,36,2.99,107.64,317,0,Monday,1,2021
2021-01-11,P010,Coffee Mug,Lifestyle,15,9.99,149.85,86,0,Monday,1,2021
2021-01-12,P001,Wireless Mouse,Electronics,24,23.99,575.81,140,1,Tuesday,1,2021
2021-01-12,P002,USB-C Cable,Electronics,28,12.99,363.72,234,0,Tuesday,1,2021
2021-01-12,P003,Notebook A5,Stationery,43,5.99,257.57,237,0,Tuesday,1,2021
2021-01-12,P004,Ballpoint Pen Pack,Stationery,61,3.99,243.39,328,0,Tuesday,1,2021
2021-01-12,P005,Desk Lamp,Furniture,10,45.99,459.9,51,0,Tuesday,1,2021
2021-01-12,P006,Hand Sanitizer,Health,103,3.99,411.18,399,1,Tuesday,1,2021
2021-01-12,P007,Water Bottle,Lifestyle,14,12.79,179.09,169,1,Tuesday,1,2021
2021-01-12,P008,Phone Case,Electronics,20,19.99,399.8,150,0,Tuesday,1,2021
2021-01-12,P009,Sticky Notes,Stationery,52,2.99,155.48,313,0,Tuesday,1,2021
2021-01-12,P010,Coffee Mug,Lifestyle,17,9.99,169.83,91,0,Tuesday,1,2021
2021-01-13,P001,Wireless Mouse,Electronics,19,29.99,569.81,146,0,Wednesday,1,2021
2021-01-13,P002,USB-C Cable,Electronics,27,12.99,350.73,241,0,Wednesday,1,2021
2021-01-13,P003,Notebook A5,Stationery,41,5.99,245.59,250,0,Wednesday,1,2021
2021-01-13,P004,Ballpoint Pen Pack,Stationery,60,3.99,239.4,332,0,Wednesday,1,2021
2021-01-13,P005,Desk Lamp,Furniture,10,45.99,459.9,69,0,Wednesday,1,2021
2021-01-13,P006,Hand Sanitizer,Health,58,4.99,289.42,443,0,Wednesday,1,2021
2021-01-13,P007,Water Bottle,Lifestyle,12,15.99,191.88,198,0,Wednesday,1,2021
2021-01-13,P008,Phone Case,Electronics,18,19.99,359.82,160,0,Wednesday,1,2021
2021-01-13,P009,Sticky Notes,Stationery,53,2.99,158.47,297,0,Wednesday,1,2021
2021-01-13,P010,Coffee Mug,Lifestyle,20,9.99,199.8,102,0,Wednesday,1,2021
2021-01-14,P001,Wireless Mouse,Electronics,19,29.99,569.81,122,0,Thursday,1,2021
2021-01-14,P002,USB-C Cable,Electronics,27,12.99,350.73,219,0,Thursday,1,2021
2021-01-14,P003,Notebook A5,Stationery,41,5.99,245.59,247,0,Thursday,1,2021
2021-01-14,P004,Ballpoint Pen Pack,Stationery,50,3.99,199.5,331,0,Thursday,1,2021
2021-01-14,P005,Desk Lamp,Furniture,17,36.79,625.46,49,1,Thursday,1,2021
2021-01-14,P006,Hand Sanitizer,Health,64,4.99,319.36,419,0,Thursday,1,2021
2021-01-14,P007,Water Bottle,Lifestyle,10,15.99,159.9,208,0,Thursday,1,2021
2021-01-14,P008,Phone Case,Electronics,23,19.99,459.77,162,0,Thursday,1,2021
2021-01-14,P009,Sticky Notes,Stationery,39,2.99,116.61,318,0,Thursday,1,2021
2021-01-14,P010,Coffee Mug,Lifestyle,16,9.99,159.84,103,0,Thursday,1,2021
2021-01-15,P001,Wireless Mouse,Electronics,16,29.99,479.84,114,0,Friday,1,2021
2021-01-15,P002,USB-C Cable,Electronics,22,12.99,285.78,235,0,Friday,1,2021
2021-01-15,P003,Notebook A5,Stationery,33,5.99,197.67,279,0,Friday,1,2021
2021-01-15,P004,Ballpoint Pen Pack,Stationery,48,3.99,191.52,337,0,Friday,1,2021
2021-01-15,P005,Desk Lamp,Furniture,11,45.99,505.89,69,0,Friday,1,2021
2021-01-15,P006,Hand Sanitizer,Health,117,3.99,467.06,399,1,Friday,1,2021
2021-01-15,P007,Water Bottle,Lifestyle,10,15.99,159.9,183,0,Friday,1,2021
2021-01-15,P008,Phone Case,Electronics,19,19.99,379.81,141,0,Friday,1,2021
2021-01-15,P009,Sticky Notes,Stationery,51,2.99,152.49,289,0,Friday,1,2021
2021-01-15,P010,Coffee Mug,Lifestyle,17,9.99,169.83,114,0,Friday,1,2021
2021-01-16,P001,Wireless Mouse,Electronics,29,23.99,695.77,128,1,Saturday,1,2021
2021-01-16,P002,USB-C Cable,Electronics,30,12.99,389.7,207,0,Saturday,1,2021
2021-01-16,P003,Notebook A5,Stationery,48,5.99,287.52,267,0,Saturday,1,2021
2021-01-16,P004,Ballpoint Pen Pack,Stationery,69,3.99,275.31,327,0,Saturday,1,2021
2021-01-16,P005,Desk Lamp,Furniture,16,45.99,735.84,72,0,Saturday,1,2021
2021-01-16,P006,Hand Sanitizer,Health,77,4.99,384.23,437,0,Saturday,1,2021
2021-01-16,P007,Water Bottle,Lifestyle,10,15.99,159.9,199,0,Saturday,1,2021
2021-01-16,P008,Phone Case,Electronics,28,19.99,559.72,136,0,Saturday,1,2021
2021-01-16,P009,Sticky Notes,Stationery,92,2.39,220.06,262,1,Saturday,1,2021
2021-01-16,P010,Coffee Mug,Lifestyle,19,9.99,189.81,107,0,Saturday,1,2021
2021-01-17,P001,Wireless Mouse,Electronics,19,29.99,569.81,115,0,Sunday,1,2021
2021-01-17,P002,USB-C Cable,Electronics,28,12.99,363.72,239,0,Sunday,1,2021
2021-01-17,P003,Notebook A5,Stationery,54,5.99,323.46,235,0,Sunday,1,2021
2021-01-17,P004,Ballpoint Pen Pack,Stationery,66,3.99,263.34,330,0,Sunday,1,2021
2021-01-17,P005,Desk Lamp,Furniture,12,45.99,551.88,60,0,Sunday,1,2021
2021-01-17,P006,Hand Sanitizer,Health,75,4.99,374.25,405,0,Sunday,1,2021
2021-01-17,P007,Water Bottle,Lifestyle,9,15.99,143.91,178,0,Sunday,1,2021
2021-01-17,P008,Phone Case,Electronics,37,15.99,591.7,125,1,Sunday,1,2021
2021-01-17,P009,Sticky Notes,Stationery,56,2.99,167.44,278,0,Sunday,1,2021
2021-01-17,P010,Coffee Mug,Lifestyle,34,7.99,271.73,82,1,Sunday,1,2021
2021-01-18,P001,Wireless Mouse,Electronics,16,29.99,479.84,152,0,Monday,1,2021
2021-01-18,P002,USB-C Cable,Electronics,25,12.99,324.75,238,0,Monday,1,2021
2021-01-18,P003,Notebook A5,Stationery,25,5.99,149.75,281,0,Monday,1,2021
2021-01-18,P004,Ballpoint Pen Pack,Stationery,80,3.19,255.36,337,1,Monday,1,2021
2021-01-18,P005,Desk Lamp,Furniture,9,45.99,413.91,67,0,Monday,1,2021
2021-01-18,P006,Hand Sanitizer,Health,61,4.99,304.39,422,0,Monday,1,2021
2021-01-18,P007,Water Bottle,Lifestyle,11,15.99,175.89,188,0,Monday,1,2021
2021-01-18,P008,Phone Case,Electronics,17,19.99,339.83,176,0,Monday,1,2021
2021-01-18,P009,Sticky Notes,Stationery,33,2.99,98.67,307,0,Monday,1,2021
2021-01-18,P010,Coffee Mug,Lifestyle,19,7.99,151.85,96,1,Monday,1,2021
2021-01-19,P001,Wireless Mouse,Electronics,16,29.99,479.84,153,0,Tuesday,1,2021
2021-01-19,P002,USB-C Cable,Electronics,22,12.99,285.78,232,0,Tuesday,1,2021
2021-01-19,P003,Notebook A5,Stationery,48,5.99,287.52,250,0,Tuesday,1,2021
2021-01-19,P004,Ballpoint Pen Pack,Stationery,50,3.99,199.5,347,0,Tuesday,1,2021
2021-01-19,P005,Desk Lamp,Furniture,11,45.99,505.89,74,0,Tuesday,1,2021
2021-01-19,P006,Hand Sanitizer,Health,59,4.99,294.41,434,0,Tuesday,1,2021
2021-01-19,P007,Water Bottle,Lifestyle,9,15.99,143.91,192,0,Tuesday,1,2021
2021-01-19,P008,Phone Case,Electronics,29,15.99,463.77,147,1,Tuesday,1,2021
2021-01-19,P009,Sticky Notes,Stationery,48,2.99,143.52,296,0,Tuesday,1,2021
2021-01-19,P010,Coffee Mug,Lifestyle,17,9.99,169.83,104,0,Tuesday,1,2021
2021-01-20,P001,Wireless Mouse,Electronics,15,29.99,449.85,116,0,Wednesday,1,2021
2021-01-20,P002,USB-C Cable,Electronics,31,12.99,402.69,212,0,Wednesday,1,2021
2021-01-20,P003,Notebook A5,Stationery,40,5.99,239.6,262,0,Wednesday,1,2021
2021-01-20,P004,Ballpoint Pen Pack,Stationery,46,3.99,183.54,351,0,Wednesday,1,2021
2021-01-20,P005,Desk Lamp,Furniture,9,45.99,413.91,75,0,Wednesday,1,2021
2021-01-20,P006,Hand Sanitizer,Health,68,4.99,339.32,439,0,Wednesday,1,2021
2021-01-20,P007,Water Bottle,Lifestyle,15,12.79,191.88,189,1,Wednesday,1,2021
2021-01-20,P008,Phone Case,Electronics,15,19.99,299.85,164,0,Wednesday,1,2021
2021-01-20,P009,Sticky Notes,Stationery,52,2.99,155.48,295,0,Wednesday,1,2021
2021-01-20,P010,Coffee Mug,Lifestyle,23,7.99,183.82,110,1,Wednesday,1,2021
2021-01-21,P001,Wireless Mouse,Electronics,18,29.99,539.82,148,0,Thursday,1,2021
2021-01-21,P002,USB-C Cable,Electronics,33,12.99,428.67,222,0,Thursday,1,2021
2021-01-21,P003,Notebook A5,Stationery,38,5.99,227.62,247,0,Thursday,1,2021
2021-01-21,P004,Ballpoint Pen Pack,Stationery,41,3.99,163.59,371,0,Thursday,1,2021
2021-01-21,P005,Desk Lamp,Furniture,15,36.79,551.88,74,1,Thursday,1,2021
2021-01-21,P006,Hand Sanitizer,Health,50,4.99,249.5,459,0,Thursday,1,2021
2021-01-21,P007,Water Bottle,Lifestyle,4,15.99,63.96,211,0,Thursday,1,2021
2021-01-21,P008,Phone Case,Electronics,20,19.99,399.8,145,0,Thursday,1,2021
2021-01-21,P009,Sticky Notes,Stationery,41,2.99,122.59,326,0,Thursday,1,2021
2021-01-21,P010,Coffee Mug,Lifestyle,17,9.99,169.83,84,0,Thursday,1,2021
2021-01-22,P001,Wireless Mouse,Electronics,11,29.99,329.89,123,0,Friday,1,2021
2021-01-22,P002,USB-C Cable,Electronics,27,12.99,350.73,206,0,Friday,1,2021
2021-01-22,P003,Notebook A5,Stationery,30,5.99,179.7,250,0,Friday,1,2021
2021-01-22,P004,Ballpoint Pen Pack,Stationery,51,3.99,203.49,366,0,Friday,1,2021
2021-01-22,P005,Desk Lamp,Furniture,11,45.99,505.89,51,0,Friday,1,2021
2021-01-22,P006,Hand Sanitizer,Health,91,3.99,363.27,398,1,Friday,1,2021
2021-01-22,P007,Water Bottle,Lifestyle,7,15.99,111.93,212,0,Friday,1,2021
2021-01-22,P008,Phone Case,Electronics,19,19.99,379.81,141,0,Friday,1,2021
2021-01-22,P009,Sticky Notes,Stationery,57,2.99,170.43,307,0,Friday,1,2021
2021-01-22,P010,Coffee Mug,Lifestyle,15,9.99,149.85,89,0,Friday,1,2021
2021-01-23,P001,Wireless Mouse,Electronics,20,29.99,599.8,121,0,Saturday,1,2021
2021-01-23,P002,USB-C Cable,Electronics,33,12.99,428.67,197,0,Saturday,1,2021
2021-01-23,P003,Notebook A5,Stationery,54,5.99,323.46,233,0,Saturday,1,2021
2021-01-23,P004,Ballpoint Pen Pack,Stationery,66,3.99,263.34,350,0,Saturday,1,2021
2021-01-23,P005,Desk Lamp,Furniture,13,45.99,597.87,51,0,Saturday,1,2021
2021-01-23,P006,Hand Sanitizer,Health,84,4.99,419.16,409,0,Saturday,1,2021
2021-01-23,P007,Water Bottle,Lifestyle,18,15.99,287.82,186,0,Saturday,1,2021
2021-01-23,P008,Phone Case,Electronics,23,19.99,459.77,144,0,Saturday,1,2021
2021-01-23,P009,Sticky Notes,Stationery,53,2.99,158.47,314,0,Saturday,1,2021
2021-01-23,P010,Coffee Mug,Lifestyle,17,9.99,169.83,97,0,Saturday,1,2021
2021-01-24,P001,Wireless Mouse,Electronics,15,29.99,449.85,116,0,Sunday,1,2021
2021-01-24,P002,USB-C Cable,Electronics,24,12.99,311.76,245,0,Sunday,1,2021
2021-01-24,P003,Notebook A5,Stationery,34,5.99,203.66,248,0,Sunday,1,2021
2021-01-24,P004,Ballpoint Pen Pack,Stationery,68,3.99,271.32,319,0,Sunday,1,2021
2021-01-24,P005,Desk Lamp,Furniture,15,45.99,689.85,71,0,Sunday,1,2021
2021-01-24,P006,Hand Sanitizer,Health,79,4.99,394.21,438,0,Sunday,1,2021
2021-01-24,P007,Water Bottle,Lifestyle,17,15.99,271.83,195,0,Sunday,1,2021
2021-01-24,P008,Phone Case,Electronics,36,15.99,575.71,133,1,Sunday,1,2021
2021-01-24,P009,Sticky Notes,Stationery,50,2.99,149.5,292,0,Sunday,1,2021
2021-01-24,P010,Coffee Mug,Lifestyle,20,9.99,199.8,115,0,Sunday,1,2021
2021-01-25,P001,Wireless Mouse,Electronics,13,29.99,389.87,124,0,Monday,1,2021
2021-01-25,P002,USB-C Cable,Electronics,31,12.99,402.69,202,0,Monday,1,2021
2021-01-25,P003,Notebook A5,Stationery,35,5.99,209.65,280,0,Monday,1,2021
2021-01-25,P004,Ballpoint Pen Pack,Stationery,50,3.99,199.5,356,0,Monday,1,2021
2021-01-25,P005,Desk Lamp,Furniture,7,45.99,321.93,78,0,Monday,1,2021
2021-01-25,P006,Hand Sanitizer,Health,67,4.99,334.33,424,0,Monday,1,2021
2021-01-25,P007,Water Bottle,Lifestyle,13,15.99,207.87,178,0,Monday,1,2021
2021-01-25,P008,Phone Case,Electronics,13,19.99,259.87,150,0,Monday,1,2021
2021-01-25,P009,Sticky Notes,Stationery,33,2.99,98.67,305,0,Monday,1,2021
2021-01-25,P010,Coffee Mug,Lifestyle,16,9.99,159.84,112,0,Monday,1,2021
2021-01-26,P001,Wireless Mouse,Electronics,14,29.99,419.86,141,0,Tuesday,1,2021
2021-01-26,P002,USB-C Cable,Electronics,23,12.99,298.77,229,0,Tuesday,1,2021
2021-01-26,P003,Notebook A5,Stationery,37,5.99,221.63,282,0,Tuesday,1,2021
2021-01-26,P004,Ballpoint Pen Pack,Stationery,55,3.99,219.45,333,0,Tuesday,1,2021
2021-01-26,P005,Desk Lamp,Furniture,11,45.99,505.89,74,0,Tuesday,1,2021
2021-01-26,P006,Hand Sanitizer,Health,61,4.99,304.39,443,0,Tuesday,1,2021
2021-01-26,P007,Water Bottle,Lifestyle,12,15.99,191.88,194,0,Tuesday,1,2021
2021-01-26,P008,Phone Case,Electronics,20,19.99,399.8,156,0,Tuesday,1,2021
2021-01-26,P009,Sticky Notes,Stationery,45,2.99,134.55,290,0,Tuesday,1,2021
2021-01-26,P010,Coffee Mug,Lifestyle,21,7.99,167.83,107,1,Tuesday,1,2021
2021-01-27,P001,Wireless Mouse,Electronics,13,29.99,389.87,136,0,Wednesday,1,2021
2021-01-27,P002,USB-C Cable,Electronics,27,12.99,350.73,222,0,Wednesday,1,2021
2021-01-27,P003,Notebook A5,Stationery,48,5.99,287.52,244,0,Wednesday,1,2021
2021-01-27,P004,Ballpoint Pen Pack,Stationery,49,3.99,195.51,349,0,Wednesday,1,2021
2021-01-27,P005,Desk Lamp,Furniture,13,45.99,597.87,75,0,Wednesday,1,2021
2021-01-27,P006,Hand Sanitizer,Health,61,4.99,304.39,458,0,Wednesday,1,2021
2021-01-27,P007,Water Bottle,Lifestyle,15,15.99,239.85,166,0,Wednesday,1,2021
2021-01-27,P008,Phone Case,Electronics,15,19.99,299.85,174,0,Wednesday,1,2021
2021-01-27,P009,Sticky Notes,Stationery,40,2.99,119.6,318,0,Wednesday,1,2021
2021-01-27,P010,Coffee Mug,Lifestyle,25,7.99,199.8,84,1,Wednesday,1,2021
2021-01-28,P001,Wireless Mouse,Electronics,13,29.99,389.87,139,0,Thursday,1,2021
2021-01-28,P002,USB-C Cable,Electronics,32,12.99,415.68,229,0,Thursday,1,2021
2021-01-28,P003,Notebook A5,Stationery,35,5.99,209.65,247,0,Thursday,1,2021
2021-01-28,P004,Ballpoint Pen Pack,Stationery,48,3.99,191.52,339,0,Thursday,1,2021
2021-01-28,P005,Desk Lamp,Furniture,10,45.99,459.9,82,0,Thursday,1,2021
2021-01-28,P006,Hand Sanitizer,Health,69,4.99,344.31,418,0,Thursday,1,2021
2021-01-28,P007,Water Bottle,Lifestyle,20,12.79,255.84,175,1,Thursday,1,2021
2021-01-28,P008,Phone Case,Electronics,19,19.99,379.81,177,0,Thursday,1,2021
2021-01-28,P009,Sticky Notes,Stationery,33,2.99,98.67,314,0,Thursday,1,2021
2021-01-28,P010,Coffee Mug,Lifestyle,21,7.99,167.83,101,1,Thursday,1,2021
2021-01-29,P001,Wireless Mouse,Electronics,18,29.99,539.82,112,0,Friday,1,2021
2021-01-29,P002,USB-C Cable,Electronics,29,12.99,376.71,220,0,Friday,1,2021
2021-01-29,P003,Notebook A5,Stationery,34,5.99,203.66,257,0,Friday,1,2021
2021-01-29,P004,Ballpoint Pen Pack,Stationery,54,3.99,215.46,362,0,Friday,1,2021
2021-01-29,P005,Desk Lamp,Furniture,8,45.99,367.92,86,0,Friday,1,2021
2021-01-29,P006,Hand Sanitizer,Health,78,4.99,389.22,423,0,Friday,1,2021
2021-01-29,P007,Water Bottle,Lifestyle,13,15.99,207.87,189,0,Friday,1,2021
2021-01-29,P008,Phone Case,Electronics,15,19.99,299.85,161,0,Friday,1,2021
2021-01-29,P009,Sticky Notes,Stationery,50,2.99,149.5,281,0,Friday,1,2021
2021-01-29,P010,Coffee Mug,Lifestyle,16,9.99,159.84,122,0,Friday,1,2021
2021-01-30,P001,Wireless Mouse,Electronics,17,29.99,509.83,138,0,Saturday,1,2021
2021-01-30,P002,USB-C Cable,Electronics,40,12.99,519.6,223,0,Saturday,1,2021
